Retailer code,Product number,Order method code,Date,Quantity,Unit price,Unit sale price
1201,109110,4,2015/1/12,648,76.86,71.48
1201,112110,4,2015/1/12,799,10.64,10.21
1201,115110,4,2015/1/12,755,10.71,10.28
1205,70240,3,2015/1/12,70,122.7,114.11
1205,71110,3,2015/1/12,28,95.62,92.75
1215,73110,2,2015/1/12,3992,12.78,11.89
1215,83110,2,2015/1/12,156,96.44,89.69
1215,86110,2,2015/1/12,2615,6,5.58
1215,93110,2,2015/1/12,1913,5,4.65
1215,96110,2,2015/1/12,493,23,22.08
1209,87110,2,2015/1/12,1762,6.01,5.59
1215,73110,2,2015/1/12,3619,12.78,11.89
1215,83110,2,2015/1/12,137,96.44,89.69
1215,86110,2,2015/1/12,2548,6,5.58
1215,93110,2,2015/1/12,1695,5,4.65
1215,96110,2,2015/1/12,455,23,22.08
1216,3110,2,2015/1/13,698,23.8,21.42
1216,9110,2,2015/1/13,1154,13.22,12.56
1216,15110,2,2015/1/13,28,831.88,773.65
1216,21110,2,2015/1/13,251,40.65,39.02
1216,22110,2,2015/1/13,233,17.65,17.12
1216,25110,2,2015/1/13,170,285.89,265.88
1216,26110,2,2015/1/13,167,370.86,344.9
1216,32110,2,2015/1/13,377,27.37,26.55
1216,35110,2,2015/1/13,179,26.54,25.74
1216,64110,2,2015/1/13,91,41.61,40.36
1216,88110,2,2015/1/13,551,7,6.79
1216,89110,2,2015/1/13,1209,7,6.72
1216,97110,2,2015/1/13,274,35,33.6
1216,99110,2,2015/1/13,246,5.23,5.23
1216,110110,2,2015/1/13,152,98.75,91.84
1216,29110,2,2015/1/13,301,73.5,68.36
1216,31110,2,2015/1/13,486,16.29,15.8
1216,40110,2,2015/1/13,600,27.81,26.7
1210,105110,2,2015/1/13,59,1271.08,1182.1
1210,109110,2,2015/1/13,477,76.86,71.48
1210,111110,2,2015/1/13,174,180.63,167.99
1210,112110,2,2015/1/13,533,10.64,10.21
1210,115110,2,2015/1/13,504,10.71,10.28
1405,70240,6,2015/1/12,103,122.7,114.11
1405,71110,6,2015/1/12,41,95.62,91.8
1218,3110,2,2015/1/12,1171,23.8,21.42
1218,15110,2,2015/1/12,41,831.88,773.65
1218,21110,2,2015/1/12,375,40.65,38.62
1218,22110,2,2015/1/12,347,17.65,16.94
1218,25110,2,2015/1/12,257,285.89,265.88
1218,26110,2,2015/1/12,253,370.86,344.9
1218,32110,2,2015/1/12,566,27.37,26
1218,88110,2,2015/1/12,835,7,6.65
1218,89110,2,2015/1/12,1831,7,6.51
1218,97110,2,2015/1/12,441,35,33.25
1218,103110,2,2015/1/12,89,532.75,495.46
1218,110110,2,2015/1/12,244,98.75,91.84
1218,114110,2,2015/1/12,95,219.3,203.95
1204,34110,3,2015/1/12,172,51.24,49.19
1204,67110,3,2015/1/12,36,294.38,273.77
1204,90110,3,2015/1/12,6121,7,6.51
1218,3110,2,2015/1/13,1064,23.8,21.42
1218,15110,2,2015/1/13,40,831.88,773.65
1218,21110,2,2015/1/13,357,40.65,38.62
1218,22110,2,2015/1/13,331,17.65,16.94
1218,25110,2,2015/1/13,236,285.89,265.88
1218,26110,2,2015/1/13,231,370.86,344.9
1218,32110,2,2015/1/13,550,27.37,26
1218,88110,2,2015/1/13,814,7,6.65
1218,89110,2,2015/1/13,1784,7,6.51
1218,97110,2,2015/1/13,407,35,33.25
1218,103110,2,2015/1/13,81,532.75,495.46
1218,110110,2,2015/1/13,208,98.75,91.84
1218,114110,2,2015/1/13,91,219.3,203.95
1209,87110,2,2015/1/12,1864,6.01,5.59
1211,70240,2,2015/1/15,102,122.7,114.11
1201,3110,4,2015/1/12,1033,23.8,21.42
1201,9110,4,2015/1/12,1716,13.22,12.43
1201,15110,4,2015/1/12,39,831.88,773.65
1201,21110,4,2015/1/12,359,40.65,39.02
1201,22110,4,2015/1/12,333,17.65,17.12
1201,25110,4,2015/1/12,235,285.89,265.88
1201,26110,4,2015/1/12,231,370.86,344.9
1201,32110,4,2015/1/12,524,27.37,26.28
1201,39110,4,2015/1/12,126,67.73,62.99
1201,64110,4,2015/1/12,128,41.61,39.95
1201,88110,4,2015/1/12,789,7,6.79
1201,89110,4,2015/1/12,1730,7,6.65
1201,97110,4,2015/1/12,416,35,33.6
1201,103110,4,2015/1/12,84,532.75,495.46
1201,104110,4,2015/1/12,67,889.02,826.79
1201,108110,4,2015/1/12,34,910.82,847.06
1201,110110,4,2015/1/12,206,98.75,91.84
1201,114110,4,2015/1/12,88,219.3,203.95
1211,69110,2,2015/2/13,95,110,102.3
1201,106110,4,2015/2/9,44,1161.46,1080.16
1201,107110,4,2015/2/9,42,1359.72,1264.54
1201,111110,4,2015/2/9,233,180.63,167.99
1201,112110,4,2015/2/9,695,10.64,10.21
1201,114110,4,2015/2/9,88,219.3,203.95
1405,69110,6,2015/2/9,91,110,102.3
1405,71110,6,2015/2/9,45,95.62,91.8
1405,72110,6,2015/2/9,30,148.3,140.89
1218,3110,2,2015/2/17,1491,23.8,21.42
1218,15110,2,2015/2/17,41,831.88,773.65
1218,21110,2,2015/2/17,330,40.65,38.62
1218,22110,2,2015/2/17,341,17.65,16.94
1218,25110,2,2015/2/17,252,285.89,265.88
1218,29110,2,2015/2/17,248,73.5,68.36
1218,32110,2,2015/2/17,556,27.37,26
1218,40110,2,2015/2/17,882,27.81,26.14
1218,88110,2,2015/2/17,901,7,6.65
1218,89110,2,2015/2/17,1821,7,6.51
1218,95110,2,2015/2/17,1645,6,5.58
1218,97110,2,2015/2/17,401,35,33.25
1218,103110,2,2015/2/17,70,532.75,495.46
1218,110110,2,2015/2/17,206,98.75,91.84
1215,7110,2,2015/2/18,867,66.77,60.09
1215,11110,2,2015/2/18,391,370.13,344.22
1215,38110,2,2015/2/18,311,31.55,30.29
1201,3110,4,2015/2/9,1380,23.8,21.42
1201,9110,4,2015/2/9,1830,13.22,12.43
1201,15110,4,2015/2/9,39,831.88,773.65
1201,21110,4,2015/2/9,317,40.65,39.02
1201,22110,4,2015/2/9,327,17.65,17.12
1201,23110,4,2015/2/9,312,104.48,97.17
1201,25110,4,2015/2/9,240,285.89,265.88
1201,29110,4,2015/2/9,236,73.5,68.36
1201,31110,4,2015/2/9,731,16.29,15.64
1201,32110,4,2015/2/9,506,27.37,26.28
1201,39110,4,2015/2/9,100,67.73,62.99
1201,40110,4,2015/2/9,802,27.81,26.7
1201,88110,4,2015/2/9,833,7,6.79
1201,89110,4,2015/2/9,1684,7,6.65
1201,97110,4,2015/2/9,391,35,33.6
1201,101110,4,2015/2/9,88,630.25,586.13
1201,103110,4,2015/2/9,69,532.75,495.46
1201,108110,4,2015/2/9,53,910.82,847.06
1201,109110,4,2015/2/9,571,76.86,71.48
1201,110110,4,2015/2/9,195,98.75,91.84
1201,113110,4,2015/2/9,874,12.81,12.3
1201,115110,4,2015/2/9,508,10.71,10.28
1216,3110,2,2015/2/17,1003,23.8,21.42
1216,9110,2,2015/2/17,1327,13.22,12.56
1216,15110,2,2015/2/17,30,831.88,773.65
1216,21110,2,2015/2/17,239,40.65,39.02
1216,22110,2,2015/2/17,247,17.65,17.12
1216,25110,2,2015/2/17,187,285.89,265.88
1216,29110,2,2015/2/17,184,73.5,68.36
1216,31110,2,2015/2/17,566,16.29,15.64
1216,32110,2,2015/2/17,392,27.37,26.55
1216,35110,2,2015/2/17,197,26.54,25.74
1216,40110,2,2015/2/17,621,27.81,26.7
1216,88110,2,2015/2/17,628,7,6.79
1216,89110,2,2015/2/17,1269,7,6.72
1216,93110,2,2015/2/17,1237,5,4.8
1216,95110,2,2015/2/17,1235,6,5.76
1216,97110,2,2015/2/17,278,35,33.6
1216,110110,2,2015/2/17,154,98.75,91.84
1215,7110,2,2015/2/9,847,66.77,60.09
1215,11110,2,2015/2/9,415,370.13,344.22
1215,38110,2,2015/2/9,328,31.55,30.29
1204,19110,3,2015/2/9,261,265.14,246.58
1204,27110,3,2015/2/9,126,460.52,428.28
1204,34110,3,2015/2/9,188,51.24,49.19
1204,75110,3,2015/2/9,313,119.69,111.31
1210,102110,2,2015/2/18,68,928.53,863.53
1210,104110,2,2015/2/18,55,889.02,826.79
1210,106110,2,2015/2/18,34,1161.46,1080.16
1210,111110,2,2015/2/18,185,180.63,167.99
1210,112110,2,2015/2/18,501,10.64,10.21
1210,114110,2,2015/2/18,63,219.3,203.95
1205,69110,3,2015/2/17,67,110,102.3
1205,71110,3,2015/2/17,33,95.62,92.75
1205,72110,3,2015/2/17,22,148.3,142.37
1218,15110,2,2015/2/9,39,831.88,773.65
1218,21110,2,2015/2/9,320,40.65,38.62
1218,22110,2,2015/2/9,331,17.65,16.94
1218,25110,2,2015/2/9,254,285.89,265.88
1218,29110,2,2015/2/9,250,73.5,68.36
1218,32110,2,2015/2/9,528,27.37,26
1218,40110,2,2015/2/9,838,27.81,26.14
1218,88110,2,2015/2/9,853,7,6.65
1218,89110,2,2015/2/9,1725,7,6.51
1218,95110,2,2015/2/9,1714,6,5.58
1218,97110,2,2015/2/9,402,35,33.25
1213,113110,2,2015/2/9,919,12.81,12.3
1215,6110,2,2015/3/8,347,129.72,120.64
1215,11110,2,2015/3/8,402,370.13,344.22
1215,13110,2,2015/3/8,205,582.42,541.65
1215,31110,2,2015/3/8,680,16.29,15.48
1215,74110,2,2015/3/8,692,16.64,15.64
1215,83110,2,2015/3/8,120,96.44,89.69
1215,86110,2,2015/3/8,2500,6,5.58
1215,92110,2,2015/3/8,1082,5,4.7
1215,93110,2,2015/3/8,1392,5,4.65
1216,99110,2,2015/3/17,217,5.23,5.23
1218,32110,2,2015/3/19,945,27.37,16.42
1218,88110,2,2015/3/19,815,7,6.65
1218,95110,2,2015/3/19,1827,6,5.7
1218,97110,2,2015/3/19,374,35,33.6
1218,114110,2,2015/3/19,74,219.3,203.95
1215,6110,2,2015/3/8,405,129.72,120.64
1215,11110,2,2015/3/8,434,370.13,344.22
1215,13110,2,2015/3/8,221,582.42,541.65
1215,31110,2,2015/3/8,740,16.29,15.48
1215,74110,2,2015/3/8,809,16.64,15.64
1215,83110,2,2015/3/8,144,96.44,89.69
1215,86110,2,2015/3/8,2718,6,5.58
1215,92110,2,2015/3/8,1294,5,4.7
1215,93110,2,2015/3/8,1665,5,4.65
1218,88110,2,2015/3/8,749,7,6.65
1201,29110,5,2015/3/8,466,73.5,68.36
1201,32110,5,2015/3/8,820,27.37,16.42
1201,40110,5,2015/3/8,706,27.81,26.7
1201,103110,5,2015/3/8,64,532.75,495.46
1201,106110,5,2015/3/8,46,1161.46,1080.16
1201,109110,5,2015/3/8,521,76.86,71.48
1201,112110,5,2015/3/8,38,10.64,0
1201,113110,5,2015/3/8,38,12.81,0
1201,114110,5,2015/3/8,97,219.3,189.7
1218,114110,2,2015/3/8,49,219.3,175.44
1218,32110,2,2015/3/19,875,27.37,16.42
1218,114110,2,2015/3/19,31,219.3,175.44
1216,64110,2,2015/3/19,77,41.61,40.36
1216,89110,2,2015/3/19,1049,7,6.72
1201,3110,5,2015/3/8,660,23.8,22.85
1201,39110,5,2015/3/8,95,67.73,62.99
1201,112110,5,2015/3/8,39,10.64,0
1201,113110,5,2015/3/8,39,12.81,0
1201,114110,5,2015/3/8,39,219.3,175.44
1201,102110,4,2015/3/8,93,928.53,863.53
1201,105110,4,2015/3/8,61,1271.08,1182.1
1201,107110,4,2015/3/8,37,1359.72,1264.54
1201,108110,4,2015/3/8,48,910.82,847.06
1201,112110,4,2015/3/8,707,10.64,10.21
1213,70240,2,2015/3/8,109,122.7,114.11
1405,68110,6,2015/3/8,97,61.84,57.51
1405,69110,6,2015/3/8,80,110,102.3
1405,70240,6,2015/3/8,91,122.7,114.11
1405,71110,6,2015/3/8,43,95.62,91.8
1205,68110,3,2015/3/19,70,61.84,58.13
1205,69110,3,2015/3/19,58,110,102.3
1205,70240,3,2015/3/19,66,122.7,114.11
1205,71110,3,2015/3/19,31,95.62,92.75
1210,102110,2,2015/3/9,68,928.53,863.53
1210,105110,2,2015/3/9,47,1271.08,1182.1
1210,107110,2,2015/3/9,28,1359.72,1264.54
1210,108110,2,2015/3/9,37,910.82,847.06
1210,112110,2,2015/3/9,533,10.64,5.11
1210,113110,2,2015/3/9,27,12.81,0
1210,114110,2,2015/3/9,27,219.3,175.44
1211,68110,2,2015/3/11,97,61.84,57.51
1211,69110,2,2015/3/11,80,110,102.3
1211,70240,2,2015/3/11,92,122.7,114.11
1211,69110,2,2015/4/16,75,110,102.3
1211,70240,2,2015/4/16,76,122.7,114.11
1209,76110,2,2015/4/13,253,40.52,38.9
1201,3110,5,2015/4/13,662,23.8,22.85
1201,15110,5,2015/4/13,32,831.88,773.65
1201,21110,5,2015/4/13,267,40.65,39.02
1201,22110,5,2015/4/13,269,17.65,17.12
1201,26110,5,2015/4/13,172,370.86,344.9
1201,29110,5,2015/4/13,375,73.5,68.36
1201,31110,5,2015/4/13,628,16.29,15.64
1201,32110,5,2015/4/13,774,27.37,16.42
1201,37110,5,2015/4/13,42,52.15,52.15
1201,64110,5,2015/4/13,109,41.61,39.95
1201,88110,5,2015/4/13,672,7,6.79
1201,89110,5,2015/4/13,1429,7,6.72
1201,97110,5,2015/4/13,341,35,33.6
1201,107110,5,2015/4/13,38,1359.72,1264.54
1201,109110,5,2015/4/13,563,76.86,71.48
1201,110110,5,2015/4/13,177,98.75,91.84
1201,111110,5,2015/4/13,186,180.63,167.99
1201,112110,5,2015/4/13,124,10.64,0
1201,113110,5,2015/4/13,124,12.81,0
1201,114110,5,2015/4/13,167,219.3,189.7
1218,3110,2,2015/4/15,695,23.8,22.61
1218,15110,2,2015/4/15,34,831.88,773.65
1218,21110,2,2015/4/15,271,40.65,38.62
1218,22110,2,2015/4/15,273,17.65,16.94
1218,26110,2,2015/4/15,176,370.86,344.9
1218,29110,2,2015/4/15,384,73.5,68.36
1218,32110,2,2015/4/15,832,27.37,16.42
1218,37110,2,2015/4/15,45,52.15,50.59
1218,88110,2,2015/4/15,708,7,6.72
1218,89110,2,2015/4/15,1506,7,6.51
1218,95110,2,2015/4/15,1499,6,5.58
1218,97110,2,2015/4/15,341,35,33.25
1218,110110,2,2015/4/15,183,98.75,91.84
1218,114110,2,2015/4/15,176,219.3,189.7
1204,39110,3,2015/4/13,107,67.73,62.99
1204,80110,3,2015/4/13,84,182.67,169.88
1201,105110,4,2015/4/13,67,1271.08,1182.1
1209,76110,2,2015/4/13,234,40.52,38.9
1215,6110,2,2015/4/13,396,129.72,120.64
1215,8110,2,2015/4/13,189,151.77,141.15
1215,11110,2,2015/4/13,403,370.13,344.22
1215,92110,2,2015/4/13,1226,5,4.7
1215,96110,2,2015/4/13,362,23,22.08
1216,3110,2,2015/4/16,437,23.8,23.09
1216,15110,2,2015/4/16,23,831.88,781.97
1216,21110,2,2015/4/16,183,40.65,39.02
1216,22110,2,2015/4/16,184,17.65,17.12
1216,26110,2,2015/4/16,122,370.86,344.9
1216,29110,2,2015/4/16,267,73.5,68.36
1216,31110,2,2015/4/16,443,16.29,15.8
1216,32110,2,2015/4/16,546,27.37,16.42
1216,35110,2,2015/4/16,191,26.54,23.89
1216,37110,2,2015/4/16,29,52.15,52.15
1216,64110,2,2015/4/16,77,41.61,40.36
1216,88110,2,2015/4/16,461,7,7
1216,89110,2,2015/4/16,981,7,6.79
1216,93110,2,2015/4/16,1067,5,4.8
1216,95110,2,2015/4/16,1052,6,5.76
1216,97110,2,2015/4/16,221,35,33.6
1216,99110,2,2015/4/16,195,5.23,5.23
1216,110110,2,2015/4/16,128,98.75,91.84
1216,9110,2,2015/4/20,975,13.22,12.69
1216,40110,2,2015/4/20,458,27.81,26.98
1205,69110,3,2015/4/15,49,110,102.3
1205,70240,3,2015/4/15,50,122.7,114.11
1405,69110,6,2015/4/13,74,110,102.3
1405,70240,6,2015/4/13,75,122.7,114.11
1215,6110,2,2015/4/21,398,129.72,120.64
1215,8110,2,2015/4/21,190,151.77,141.15
1215,11110,2,2015/4/21,375,370.13,344.22
1215,92110,2,2015/4/21,1264,5,4.7
1215,96110,2,2015/4/21,358,23,22.08
1218,3110,2,2015/4/13,699,23.8,22.61
1218,15110,2,2015/4/13,31,831.88,773.65
1218,21110,2,2015/4/13,260,40.65,38.62
1218,22110,2,2015/4/13,262,17.65,16.94
1218,26110,2,2015/4/13,176,370.86,344.9
1218,29110,2,2015/4/13,383,73.5,68.36
1218,32110,2,2015/4/13,783,27.37,16.42
1218,37110,2,2015/4/13,42,52.15,50.59
1218,88110,2,2015/4/13,663,7,6.72
1218,89110,2,2015/4/13,1411,7,6.51
1218,95110,2,2015/4/13,1545,6,5.58
1218,97110,2,2015/4/13,338,35,33.25
1218,110110,2,2015/4/13,196,98.75,91.84
1218,114110,2,2015/4/13,169,219.3,189.7
1210,104110,2,2015/4/21,39,889.02,826.79
1210,105110,2,2015/4/21,47,1271.08,1182.1
1210,106110,2,2015/4/21,32,1161.46,1080.16
1210,112110,2,2015/4/21,440,10.64,10.32
1213,9110,2,2015/4/21,1560,13.22,12.43
1213,40110,2,2015/4/21,654,27.81,26.7
1201,101110,5,2015/5/11,76,630.25,586.13
1201,107110,5,2015/5/11,40,1359.72,1264.54
1213,9110,2,2015/5/11,1586,13.22,12.43
1210,101110,2,2015/5/20,50,630.25,586.13
1210,107110,2,2015/5/20,28,1359.72,1264.54
1210,111110,2,2015/5/20,148,180.63,167.99
1210,112110,2,2015/5/20,491,10.64,10.32
1210,115110,2,2015/5/20,441,10.71,10.39
1215,8110,2,2015/5/20,194,151.77,141.15
1215,11110,2,2015/5/20,350,370.13,344.22
1215,23110,2,2015/5/20,172,104.48,97.17
1215,30110,2,2015/5/20,483,14.77,14.18
1215,36110,2,2015/5/20,712,34.9,27.92
1215,74110,2,2015/5/20,615,16.64,15.81
1215,98110,2,2015/5/20,226,6,6
1204,5110,3,2015/5/11,669,54.93,52.18
1204,19110,3,2015/5/11,243,265.14,246.58
1204,24110,3,2015/5/11,354,76.86,71.48
1204,34110,3,2015/5/11,146,51.24,49.19
1201,3110,5,2015/5/11,741,23.8,22.85
1201,9110,5,2015/5/11,1497,13.22,12.56
1201,15110,5,2015/5/11,33,831.88,773.65
1201,21110,5,2015/5/11,305,40.65,39.02
1201,22110,5,2015/5/11,306,17.65,17.12
1201,25110,5,2015/5/11,244,285.89,265.88
1201,29110,5,2015/5/11,352,73.5,68.36
1201,31110,5,2015/5/11,623,16.29,15.64
1201,39110,5,2015/5/11,113,67.73,62.99
1201,40110,5,2015/5/11,826,27.81,26.7
1201,64110,5,2015/5/11,105,41.61,39.95
1201,88110,5,2015/5/11,723,7,6.79
1201,97110,5,2015/5/11,351,35,33.6
1201,103110,5,2015/5/11,68,532.75,495.46
1201,104110,5,2015/5/11,68,889.02,826.79
1201,110110,5,2015/5/11,183,98.75,91.84
